Division,Round,Instance,MatchNum,Field,Red1,Red2,Red3,Blue1,Blue2,Blue3,RedScore,BlueScore,RedSit,BlueSit,Scored,Winner,Red-auto,Red-farcubes,Red-farstars,Red-highrobots,Red-lowrobots,Red-nearcubes,Red-nearstars,Blue-auto,Blue-farcubes,Blue-farstars,Blue-highrobots,Blue-lowrobots,Blue-nearcubes,Blue-nearstars
1,2,1,1,Main Field,12,22,,6,8,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,2,Main Field,9,16,,18,15,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,Main Field,21,10,,7,23,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,4,Main Field,24,5,,4,13,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,5,Main Field,20,14,,1,11,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,Main Field,19,17,,3,2,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,7,Main Field,7,6,,5,9,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,8,Main Field,13,1,,21,15,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,9,Main Field,18,24,,20,19,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,10,Main Field,2,11,,8,17,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,11,Main Field,10,12,,14,16,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,12,Main Field,4,23,,3,22,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,13,Main Field,8,1,,19,5,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,14,Main Field,15,11,,24,12,,0,0,,,False,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
